Object,Phase Delay,SN Subtype ID,SN Maintype ID,Spectral Phase,Modification Type,Redshift Applied,Spikes Added
sn1998S,93.4,15,3,93.4,Shift Spectrum,True,False
sn1998S,75.5,15,3,75.5,Shift Spectrum,True,False
sn1998S,275.2,15,3,275.2,Shift Spectrum,True,False
sn1996L,8.4,15,3,8.4,Add Spikes,False,True
sn1998S,247.3,15,3,247.3,Shift Spectrum,True,False
sn1998S,12.7,15,3,12.7,Add Spikes and Shift,True,True
sn1998S,1.9,15,3,1.9,Shift Spectrum,True,False
sn1998S,81.2,15,3,81.2,Add Spikes and Shift,True,True
sn1998S,305.1,15,3,305.1,None,False,False
sn1998S,13.8,15,3,13.8,Add Spikes and Shift,True,True
sn1998S,1.9,15,3,1.9,Add Spikes and Shift,True,True
sn1998S,11.4,15,3,11.4,Add Spikes,False,True
sn1998S,355.8,15,3,355.8,Shift Spectrum,True,False
sn1998S,15.8,15,3,15.8,None,False,False
sn1998S,72.5,15,3,72.5,None,False,False
sn1998S,367.8,15,3,367.8,None,False,False
sn1996L,322.8,15,3,322.8,Add Spikes and Shift,True,True
sn1998S,383.6,15,3,383.6,Add Spikes and Shift,True,True
sn1998S,355.8,15,3,355.8,Shift Spectrum,True,False
sn1998S,305.1,15,3,305.1,Shift Spectrum,True,False
sn1996L,322.8,15,3,322.8,Shift Spectrum,True,False
sn1998S,9.7,15,3,9.7,None,False,False
sn1998S,98.4,15,3,98.4,None,False,False
sn1998S,120.3,15,3,120.3,Add Spikes,False,True
sn1998S,15.8,15,3,15.8,Shift Spectrum,True,False
sn1996L,323.8,15,3,323.8,None,False,False
sn1998S,60.5,15,3,60.5,Add Spikes and Shift,True,True
sn1998S,247.3,15,3,247.3,Add Spikes and Shift,True,True
sn1998S,13.8,15,3,13.8,Add Spikes and Shift,True,True
sn1998S,241.3,15,3,241.3,Add Spikes,False,True
sn1998S,70.5,15,3,70.5,None,False,False
sn1998S,241.3,15,3,241.3,Shift Spectrum,True,False
sn1998S,40.6,15,3,40.6,Add Spikes and Shift,True,True
sn1998S,11.4,15,3,11.4,None,False,False
sn1998S,283.2,15,3,283.2,Shift Spectrum,True,False
sn1998S,241.3,15,3,241.3,Add Spikes and Shift,True,True
sn1998S,95.4,15,3,95.4,Add Spikes and Shift,True,True
sn1998S,81.2,15,3,81.2,Add Spikes,False,True
sn1998S,241.3,15,3,241.3,None,False,False
sn1998S,413.5,15,3,413.5,None,False,False
sn1998S,75.5,15,3,75.5,Add Spikes,False,True
sn1996L,33.7,15,3,33.7,Shift Spectrum,True,False
sn1998S,101.4,15,3,101.4,None,False,False
sn1998S,39.7,15,3,39.7,None,False,False
sn1998S,58.5,15,3,58.5,Add Spikes and Shift,True,True
sn1998S,283.2,15,3,283.2,Add Spikes,False,True
sn1998S,75.5,15,3,75.5,Shift Spectrum,True,False
sn1998S,39.7,15,3,39.7,Add Spikes,False,True
sn1998S,413.5,15,3,413.5,Add Spikes,False,True
sn1998S,75.5,15,3,75.5,Add Spikes,False,True
sn1998S,81.2,15,3,81.2,None,False,False
sn1998S,310.1,15,3,310.1,Shift Spectrum,True,False
sn1998S,283.2,15,3,283.2,Add Spikes and Shift,True,True
sn1998S,89.4,15,3,89.4,None,False,False
sn1998S,72.5,15,3,72.5,None,False,False
sn1998S,338.9,15,3,338.9,Add Spikes and Shift,True,True
sn1998S,247.3,15,3,247.3,None,False,False
sn1998S,30.7,15,3,30.7,None,False,False
sn1998S,120.3,15,3,120.3,Add Spikes and Shift,True,True
sn1998S,325.0,15,3,325.0,Add Spikes,False,True
sn1998S,39.7,15,3,39.7,None,False,False
sn1998S,310.1,15,3,310.1,Add Spikes and Shift,True,True
sn1998S,43.6,15,3,43.6,Add Spikes,False,True
sn1996L,8.4,15,3,8.4,Shift Spectrum,True,False
sn1996L,58.1,15,3,58.1,Add Spikes,False,True
sn1998S,9.7,15,3,9.7,Add Spikes,False,True
sn1998S,367.8,15,3,367.8,Add Spikes and Shift,True,True
sn1998S,128.3,15,3,128.3,None,False,False
sn1998S,247.3,15,3,247.3,Shift Spectrum,True,False
sn1998S,-12.5,15,3,-12.5,Add Spikes,False,True
sn1998S,105.4,15,3,105.4,Add Spikes and Shift,True,True
sn1998S,-13.1,15,3,-13.1,Add Spikes,False,True
sn1998S,305.1,15,3,305.1,Add Spikes,False,True
sn1998S,120.3,15,3,120.3,None,False,False
sn1998S,128.3,15,3,128.3,Add Spikes and Shift,True,True
sn1998S,46.6,15,3,46.6,Add Spikes,False,True
sn1998S,105.4,15,3,105.4,None,False,False
sn1998S,89.4,15,3,89.4,None,False,False
sn1998S,422.5,15,3,422.5,Add Spikes,False,True
sn1998S,277.2,15,3,277.2,Add Spikes and Shift,True,True
sn1998S,-13.1,15,3,-13.1,Add Spikes and Shift,True,True
sn1998S,390.6,15,3,390.6,None,False,False
sn1996L,8.4,15,3,8.4,Add Spikes,False,True
sn1998S,1.9,15,3,1.9,None,False,False
sn1998S,247.3,15,3,247.3,Add Spikes and Shift,True,True
sn1998S,15.8,15,3,15.8,Add Spikes,False,True
sn1998S,310.1,15,3,310.1,None,False,False
sn1998S,9.7,15,3,9.7,None,False,False
sn1998S,338.9,15,3,338.9,Add Spikes,False,True
sn1998S,105.4,15,3,105.4,Add Spikes,False,True
sn1996L,58.1,15,3,58.1,Add Spikes and Shift,True,True
sn1998S,-13.1,15,3,-13.1,Add Spikes,False,True
sn1996L,42.2,15,3,42.2,Add Spikes and Shift,True,True
sn1998S,13.8,15,3,13.8,Add Spikes,False,True
sn1998S,277.2,15,3,277.2,None,False,False
sn1998S,60.5,15,3,60.5,Shift Spectrum,True,False
sn1998S,120.3,15,3,120.3,None,False,False
sn1998S,89.4,15,3,89.4,Shift Spectrum,True,False
sn1998S,2.7,15,3,2.7,Add Spikes,False,True
sn1998S,70.5,15,3,70.5,Shift Spectrum,True,False
sn1998S,75.5,15,3,75.5,Add Spikes and Shift,True,True
sn1998S,60.5,15,3,60.5,Add Spikes and Shift,True,True
sn1998S,413.5,15,3,413.5,Add Spikes and Shift,True,True
sn1998S,1.9,15,3,1.9,Add Spikes,False,True
sn1998S,310.1,15,3,310.1,Add Spikes,False,True
sn1998S,127.3,15,3,127.3,None,False,False
sn1996L,42.2,15,3,42.2,Add Spikes,False,True
sn1998S,128.3,15,3,128.3,Add Spikes and Shift,True,True
sn1998S,127.3,15,3,127.3,Shift Spectrum,True,False
sn1998S,60.5,15,3,60.5,Shift Spectrum,True,False
sn2005ek,0.1,12,2,0.1,Add Spikes,False,True
sn2005ek,1.1,12,2,1.1,Add Spikes,False,True
sn2004aw,18.1,12,2,18.1,Add Spikes and Shift,True,True
sn2004aw,3.1,12,2,3.1,None,False,False
sn2004aw,0.8,12,2,0.8,Add Spikes,False,True
sn2005ek,5.1,12,2,5.1,None,False,False
sn2005ek,-0.9,12,2,-0.9,Shift Spectrum,True,False
sn2004aw,25.9,12,2,25.9,Add Spikes and Shift,True,True
sn2004aw,46.0,12,2,46.0,Add Spikes,False,True
sn2004aw,-0.2,12,2,-0.2,Add Spikes,False,True
sn2004aw,21.3,12,2,21.3,Add Spikes,False,True
sn2004aw,25.9,12,2,25.9,Add Spikes,False,True
sn2004aw,3.1,12,2,3.1,None,False,False
sn2004aw,48.0,12,2,48.0,Add Spikes,False,True
sn2004aw,-1.3,12,2,-1.3,None,False,False
sn2005ek,-0.9,12,2,-0.9,Add Spikes,False,True
sn2004aw,-1.3,12,2,-1.3,Shift Spectrum,True,False
sn2004aw,23.0,12,2,23.0,Add Spikes,False,True
sn2004aw,0.8,12,2,0.8,Shift Spectrum,True,False
sn2004aw,253.7,12,2,253.7,Add Spikes and Shift,True,True
sn2004aw,1.6,12,2,1.6,Add Spikes,False,True
sn2004aw,1.6,12,2,1.6,None,False,False
sn2005ek,2.1,12,2,2.1,Add Spikes,False,True
sn2005ek,-0.9,12,2,-0.9,Add Spikes,False,True
sn2004aw,-1.7,12,2,-1.7,None,False,False
sn2005ek,3.1,12,2,3.1,Add Spikes,False,True
sn2004aw,23.0,12,2,23.0,Add Spikes,False,True
sn2005ek,2.1,12,2,2.1,Add Spikes and Shift,True,True
sn2004aw,253.7,12,2,253.7,Shift Spectrum,True,False
sn2004aw,48.0,12,2,48.0,Add Spikes,False,True
sn2004aw,12.2,12,2,12.2,None,False,False
sn2005ek,3.1,12,2,3.1,Shift Spectrum,True,False
sn2004aw,18.4,12,2,18.4,Add Spikes and Shift,True,True
sn2004aw,25.9,12,2,25.9,Shift Spectrum,True,False
sn2004aw,-1.7,12,2,-1.7,Add Spikes and Shift,True,True
sn2004aw,12.2,12,2,12.2,Shift Spectrum,True,False
sn2004aw,18.4,12,2,18.4,Shift Spectrum,True,False
sn2004aw,2.6,12,2,2.6,Add Spikes,False,True
sn2004aw,21.3,12,2,21.3,Add Spikes and Shift,True,True
sn2005ek,3.1,12,2,3.1,Shift Spectrum,True,False
sn2004aw,5.3,12,2,5.3,Add Spikes and Shift,True,True
sn2004aw,5.3,12,2,5.3,Shift Spectrum,True,False
sn2004aw,23.0,12,2,23.0,Add Spikes and Shift,True,True
sn2004aw,19.1,12,2,19.1,None,False,False
sn2004aw,-5.2,12,2,-5.2,Add Spikes and Shift,True,True
sn2004aw,48.0,12,2,48.0,Add Spikes and Shift,True,True
sn2004aw,23.0,12,2,23.0,Shift Spectrum,True,False
sn2004aw,24.9,12,2,24.9,None,False,False
sn2004aw,18.4,12,2,18.4,Add Spikes,False,True
sn2004aw,-1.3,12,2,-1.3,Add Spikes,False,True
sn2004aw,12.2,12,2,12.2,Shift Spectrum,True,False
sn2004aw,25.9,12,2,25.9,Add Spikes and Shift,True,True
sn2005ek,3.1,12,2,3.1,Shift Spectrum,True,False
sn2005ek,5.1,12,2,5.1,None,False,False
sn2004aw,-0.2,12,2,-0.2,Add Spikes,False,True
sn2004aw,3.6,12,2,3.6,Add Spikes,False,True
sn2004aw,1.6,12,2,1.6,Add Spikes and Shift,True,True
sn2004aw,5.3,12,2,5.3,Add Spikes,False,True
sn2004aw,25.9,12,2,25.9,Add Spikes,False,True
sn2004aw,48.0,12,2,48.0,None,False,False
sn2004aw,12.2,12,2,12.2,Shift Spectrum,True,False
sn2005ek,3.1,12,2,3.1,None,False,False
sn2004aw,18.1,12,2,18.1,Add Spikes and Shift,True,True
sn2004aw,31.9,12,2,31.9,Add Spikes,False,True
sn2005ek,5.1,12,2,5.1,None,False,False
sn2004aw,229.4,12,2,229.4,Add Spikes and Shift,True,True
sn2004aw,18.1,12,2,18.1,Add Spikes and Shift,True,True
sn2005ek,-0.9,12,2,-0.9,Shift Spectrum,True,False
sn2004aw,18.1,12,2,18.1,Add Spikes,False,True
sn2004aw,-0.2,12,2,-0.2,Add Spikes and Shift,True,True
sn2005ek,1.1,12,2,1.1,Add Spikes and Shift,True,True
sn2004aw,18.4,12,2,18.4,Shift Spectrum,True,False
sn2005ek,2.1,12,2,2.1,Add Spikes and Shift,True,True
sn2004aw,23.0,12,2,23.0,Add Spikes,False,True
sn2004aw,-5.2,12,2,-5.2,Shift Spectrum,True,False
sn2004aw,19.1,12,2,19.1,Add Spikes,False,True
sn2004aw,48.0,12,2,48.0,None,False,False
sn2004aw,-3.3,12,2,-3.3,Shift Spectrum,True,False
sn2004aw,-5.2,12,2,-5.2,Add Spikes and Shift,True,True
sn2004aw,21.3,12,2,21.3,None,False,False
sn2004aw,24.9,12,2,24.9,None,False,False
sn2005ek,2.1,12,2,2.1,Shift Spectrum,True,False
sn2004aw,23.0,12,2,23.0,None,False,False
sn2004aw,31.9,12,2,31.9,Add Spikes,False,True
sn2005ek,0.1,12,2,0.1,None,False,False
sn2004aw,25.9,12,2,25.9,Shift Spectrum,True,False
sn2005ek,1.1,12,2,1.1,Add Spikes and Shift,True,True
sn2004aw,229.4,12,2,229.4,Add Spikes and Shift,True,True
sn2005ek,2.1,12,2,2.1,Shift Spectrum,True,False
sn2004aw,30.2,12,2,30.2,Add Spikes,False,True
sn2004aw,229.4,12,2,229.4,Shift Spectrum,True,False
sn2005ek,-0.9,12,2,-0.9,Add Spikes,False,True
sn2005ek,5.1,12,2,5.1,Shift Spectrum,True,False
sn2004aw,25.9,12,2,25.9,None,False,False
sn2004aw,21.3,12,2,21.3,Add Spikes and Shift,True,True
sn2005ek,3.1,12,2,3.1,Add Spikes and Shift,True,True
sn2004aw,31.9,12,2,31.9,Add Spikes and Shift,True,True
sn2004aw,25.9,12,2,25.9,Shift Spectrum,True,False
sn2004aw,12.2,12,2,12.2,Add Spikes and Shift,True,True
sn2005ek,-0.9,12,2,-0.9,Shift Spectrum,True,False
sn2004aw,3.6,12,2,3.6,Add Spikes,False,True
sn2005ek,0.1,12,2,0.1,Shift Spectrum,True,False
sn2004aw,1.9,12,2,1.9,None,False,False
sn2004aw,21.3,12,2,21.3,Add Spikes,False,True
sn2004aw,24.9,12,2,24.9,Add Spikes,False,True
sn2004aw,25.9,12,2,25.9,Add Spikes and Shift,True,True
sn2005ek,5.1,12,2,5.1,Add Spikes and Shift,True,True
sn2004aw,-5.2,12,2,-5.2,Add Spikes,False,True
sn2004aw,2.6,12,2,2.6,Add Spikes and Shift,True,True
sn2004aw,-0.2,12,2,-0.2,Add Spikes,False,True
sn2004aw,18.1,12,2,18.1,Shift Spectrum,True,False
sn2004aw,18.1,12,2,18.1,Add Spikes and Shift,True,True
sn2004aw,-2.2,12,2,-2.2,Shift Spectrum,True,False
sn2004aw,1.6,12,2,1.6,Add Spikes and Shift,True,True
sn2004aw,0.8,12,2,0.8,Add Spikes and Shift,True,True
sn2004aw,23.0,12,2,23.0,Shift Spectrum,True,False
sn2004aw,23.0,12,2,23.0,Shift Spectrum,True,False
sn2004aw,31.9,12,2,31.9,Shift Spectrum,True,False
sn2004aw,48.0,12,2,48.0,Add Spikes,False,True
sn2004aw,0.8,12,2,0.8,None,False,False
sn2004aw,-3.3,12,2,-3.3,None,False,False
sn2004aw,24.9,12,2,24.9,Add Spikes and Shift,True,True
sn2004aw,229.4,12,2,229.4,Add Spikes and Shift,True,True
sn2004aw,1.6,12,2,1.6,None,False,False
sn2004aw,21.3,12,2,21.3,Shift Spectrum,True,False
sn2004aw,-1.7,12,2,-1.7,None,False,False
sn2004aw,3.1,12,2,3.1,None,False,False
sn2005ek,-0.9,12,2,-0.9,Add Spikes and Shift,True,True
sn2004aw,0.8,12,2,0.8,Shift Spectrum,True,False
sn2004aw,229.4,12,2,229.4,None,False,False
sn2005ek,5.1,12,2,5.1,Shift Spectrum,True,False
sn2004aw,-0.2,12,2,-0.2,None,False,False
sn2005ek,2.1,12,2,2.1,Shift Spectrum,True,False
sn2004aw,25.9,12,2,25.9,Shift Spectrum,True,False
sn2004aw,-0.2,12,2,-0.2,Add Spikes,False,True
sn2004aw,-0.2,12,2,-0.2,Add Spikes,False,True
sn2004aw,19.1,12,2,19.1,Add Spikes,False,True
sn2004aw,-0.2,12,2,-0.2,Add Spikes,False,True
sn2004aw,3.6,12,2,3.6,None,False,False
sn2004aw,48.0,12,2,48.0,Add Spikes and Shift,True,True
sn2005ek,5.1,12,2,5.1,Add Spikes and Shift,True,True
sn2004aw,253.7,12,2,253.7,None,False,False
sn2004aw,31.9,12,2,31.9,Add Spikes and Shift,True,True
sn2004aw,5.3,12,2,5.3,None,False,False
sn2004aw,46.0,12,2,46.0,None,False,False
sn2004aw,-2.2,12,2,-2.2,Add Spikes,False,True
sn2004aw,3.6,12,2,3.6,Shift Spectrum,True,False
sn2005ek,0.1,12,2,0.1,Add Spikes and Shift,True,True
sn2004aw,2.6,12,2,2.6,Shift Spectrum,True,False
sn2005ek,5.1,12,2,5.1,Add Spikes and Shift,True,True
sn2004aw,19.1,12,2,19.1,Add Spikes,False,True
sn2004aw,12.2,12,2,12.2,Add Spikes,False,True
sn2004aw,31.9,12,2,31.9,None,False,False
sn2004aw,1.6,12,2,1.6,Add Spikes,False,True
sn2004aw,30.2,12,2,30.2,Shift Spectrum,True,False
sn2004aw,3.1,12,2,3.1,Shift Spectrum,True,False
sn2005ek,2.1,12,2,2.1,Add Spikes,False,True
sn2004aw,-1.3,12,2,-1.3,None,False,False
sn2004aw,3.6,12,2,3.6,Shift Spectrum,True,False
sn2004aw,31.9,12,2,31.9,Add Spikes and Shift,True,True
sn2004aw,18.4,12,2,18.4,Shift Spectrum,True,False
sn2005ek,2.1,12,2,2.1,None,False,False
sn2004aw,30.2,12,2,30.2,Shift Spectrum,True,False
sn2004aw,1.9,12,2,1.9,Add Spikes,False,True
sn2004aw,12.2,12,2,12.2,None,False,False
sn2005ek,1.1,12,2,1.1,Add Spikes,False,True
sn2005ek,0.1,12,2,0.1,Add Spikes and Shift,True,True
sn2005ek,2.1,12,2,2.1,None,False,False
sn2004aw,253.7,12,2,253.7,None,False,False
sn2004aw,18.1,12,2,18.1,Add Spikes,False,True
sn2004aw,229.4,12,2,229.4,Add Spikes and Shift,True,True
sn2004aw,25.9,12,2,25.9,Add Spikes,False,True
sn2004aw,46.0,12,2,46.0,Shift Spectrum,True,False
sn2005ek,5.1,12,2,5.1,Add Spikes and Shift,True,True
sn2004aw,3.6,12,2,3.6,None,False,False
sn2004aw,229.4,12,2,229.4,Shift Spectrum,True,False
sn2004aw,-0.2,12,2,-0.2,Shift Spectrum,True,False
sn2004aw,-2.2,12,2,-2.2,None,False,False
sn2005ek,-0.9,12,2,-0.9,None,False,False
sn2004aw,-5.2,12,2,-5.2,Add Spikes,False,True
sn2004aw,46.0,12,2,46.0,Add Spikes,False,True
sn2004aw,48.0,12,2,48.0,Shift Spectrum,True,False
sn2005ek,3.1,12,2,3.1,Shift Spectrum,True,False
sn2004aw,19.1,12,2,19.1,Shift Spectrum,True,False
sn2002ao,21.6,7,1,21.6,Shift Spectrum,True,False
sn2006jc,18.5,7,1,18.5,Add Spikes,False,True
sn2000er,9.7,7,1,9.7,Add Spikes,False,True
sn2002ao,30.6,7,1,30.6,Add Spikes and Shift,True,True
sn2006jc,64.5,7,1,64.5,None,False,False
sn2000er,5.7,7,1,5.7,Add Spikes,False,True
sn2006jc,18.5,7,1,18.5,Add Spikes,False,True
sn2006jc,9.5,7,1,9.5,Add Spikes and Shift,True,True
sn2006jc,30.5,7,1,30.5,Add Spikes and Shift,True,True
sn2006jc,42.5,7,1,42.5,Add Spikes,False,True
sn2006jc,12.5,7,1,12.5,Add Spikes and Shift,True,True
sn2006jc,18.5,7,1,18.5,None,False,False
sn2006jc,10.5,7,1,10.5,Add Spikes,False,True
sn2006jc,30.5,7,1,30.5,Add Spikes and Shift,True,True
sn2006jc,8.5,7,1,8.5,Add Spikes,False,True
sn2006jc,47.5,7,1,47.5,Add Spikes and Shift,True,True
sn2006jc,47.5,7,1,47.5,None,False,False
sn2006jc,7.5,7,1,7.5,Add Spikes,False,True
sn2002ao,23.6,7,1,23.6,Add Spikes,False,True
sn2006jc,63.5,7,1,63.5,None,False,False
sn2006jc,11.5,7,1,11.5,Add Spikes and Shift,True,True
sn2000er,8.7,7,1,8.7,None,False,False
sn2006jc,18.5,7,1,18.5,Add Spikes,False,True
sn2000er,5.7,7,1,5.7,Add Spikes and Shift,True,True
sn2006jc,12.5,7,1,12.5,Shift Spectrum,True,False
sn2006jc,30.5,7,1,30.5,Add Spikes and Shift,True,True
sn2006jc,8.5,7,1,8.5,Add Spikes,False,True
sn2002ao,28.3,7,1,28.3,Add Spikes and Shift,True,True
sn2006jc,61.5,7,1,61.5,Shift Spectrum,True,False
sn2006jc,10.5,7,1,10.5,None,False,False
sn2006jc,15.5,7,1,15.5,Shift Spectrum,True,False
sn2002ao,21.6,7,1,21.6,Add Spikes,False,True
sn2006jc,38.5,7,1,38.5,Add Spikes,False,True
sn2006jc,35.5,7,1,35.5,Add Spikes,False,True
sn2000er,4.7,7,1,4.7,Shift Spectrum,True,False
sn2000er,4.7,7,1,4.7,None,False,False
sn2002ao,23.6,7,1,23.6,Add Spikes and Shift,True,True
sn2006jc,15.5,7,1,15.5,Shift Spectrum,True,False
sn2006jc,12.5,7,1,12.5,Shift Spectrum,True,False
sn2006jc,43.0,7,1,43.0,Shift Spectrum,True,False
sn2006jc,65.5,7,1,65.5,Add Spikes and Shift,True,True
sn2006jc,47.5,7,1,47.5,Add Spikes and Shift,True,True
sn2002ao,28.3,7,1,28.3,Shift Spectrum,True,False
sn2006jc,15.5,7,1,15.5,Shift Spectrum,True,False
sn2002ao,23.6,7,1,23.6,Add Spikes and Shift,True,True
sn2006jc,9.5,7,1,9.5,Add Spikes and Shift,True,True
sn2006jc,38.5,7,1,38.5,None,False,False
sn2006jc,65.5,7,1,65.5,None,False,False
sn2006jc,64.5,7,1,64.5,Shift Spectrum,True,False
sn2006jc,42.5,7,1,42.5,Add Spikes and Shift,True,True
sn2006jc,10.5,7,1,10.5,None,False,False
sn2006jc,33.5,7,1,33.5,Add Spikes,False,True
sn2006jc,9.5,7,1,9.5,None,False,False
sn2000er,4.7,7,1,4.7,None,False,False
sn2006jc,35.5,7,1,35.5,Add Spikes and Shift,True,True
sn2006jc,17.5,7,1,17.5,Shift Spectrum,True,False
sn2002ao,28.3,7,1,28.3,Shift Spectrum,True,False
sn2006jc,65.5,7,1,65.5,None,False,False
sn2000er,8.7,7,1,8.7,Add Spikes and Shift,True,True
sn2006jc,33.5,7,1,33.5,Add Spikes and Shift,True,True
sn2002ao,23.6,7,1,23.6,Add Spikes,False,True
sn2000er,9.7,7,1,9.7,Shift Spectrum,True,False
sn2006jc,17.5,7,1,17.5,Add Spikes and Shift,True,True
sn2002ao,28.3,7,1,28.3,None,False,False
sn2006jc,38.5,7,1,38.5,Add Spikes and Shift,True,True
sn2000er,4.7,7,1,4.7,None,False,False
sn2000er,4.7,7,1,4.7,Add Spikes,False,True
sn2006jc,17.5,7,1,17.5,Add Spikes,False,True
sn2006jc,8.5,7,1,8.5,Add Spikes,False,True
sn2006jc,38.5,7,1,38.5,Shift Spectrum,True,False
sn2000er,6.7,7,1,6.7,None,False,False
sn2006jc,9.5,7,1,9.5,None,False,False
sn2006jc,19.5,7,1,19.5,None,False,False
sn2002ao,21.6,7,1,21.6,Add Spikes and Shift,True,True
sn2006jc,63.5,7,1,63.5,None,False,False
sn2006jc,11.5,7,1,11.5,Shift Spectrum,True,False
sn2000er,6.7,7,1,6.7,Add Spikes,False,True
sn2006jc,47.5,7,1,47.5,None,False,False
sn2000er,4.7,7,1,4.7,Add Spikes and Shift,True,True
sn2006jc,12.5,7,1,12.5,Add Spikes and Shift,True,True
sn2006jc,5.5,7,1,5.5,Shift Spectrum,True,False
sn2006jc,35.5,7,1,35.5,None,False,False
sn2006jc,9.5,7,1,9.5,Add Spikes,False,True
sn2006jc,19.5,7,1,19.5,None,False,False
